Balm,BALM,SLOANS BALM 10GM,10GM,38.5,12,12,30049099
Balm,BALM,SLOANS BALM 20GM,20GM,54,12,12,30049099
Biscuit,BISCUIT,GRD BIX-BISCUIT 250GMS,250GMS,267,28,28,19019090
Capsule,CAPSULE,DUVADILAN RET CAP 10`S,10`S,107.04,12,12,30049074
Capsule,CAPSULE,PRECREA CAPS 60`S,60`S,750,28,28,21069099
Capsule,CAPSULE,THYROWEL CAPS 10`S,10`S,114.84,12,12,30049082
Capsule,CAPSULE,CREMAFFIN FRESH CAP 10`S,10`S,10.19,12,12,30049099
Capsule,CAPSULE,CREON 10000MG CAPS 15`S,15`S,544.24,12,12,30049099
Capsule,CAPSULE,CREON 25000 CAPS 10`S,10`S,818.79,12,12,30049099
Capsule,CAPSULE,CREON 40000 CAP 10`S,10`S,1059.96,12,12,30049099
Capsule,CAPSULE,CADX CAPS 10`S,10`S,73.35,12,12,3004
Capsule,CAPSULE,GERIDYS CAP 10`S,10`S,61,0,0,30049084
Capsule,CAPSULE,GERIFLAM CAP 10`S,10`S,44,12,12,30049069
Capsule,CAPSULE,VULVOCLIN CAP 7`S,7`S,70,12,12,30042069
Capsule,CAPSULE,DIAX OD CAPS 10`S,10`S,136.4,12,12,30045020
Capsule,CAPSULE,PANPLUS D CAPS 10`S,10`S,97.05,12,12,30049039
Capsule,CAPSULE,REKOOL-D CAP 15`S,15`S,219.75,12,12,30049099
Capsule,CAPSULE,IROFOL AZ CAPS 15`S,15`S,60,12,12,3004
Capsule,CAPSULE,ALCRIN-M CAP 15`S,15`S,103.76,12,12,30045090
Capsule,CAPSULE,BEPLEX NU CAP 10`S,10`S,120,12,12,3004
Capsule,CAPSULE,BEPLEX-LZ CAP 15`S,15`S,28,18,18,0
Capsule,CAPSULE,DURAJOINT CAP 10`S,10`S,91,12,12,30049069
Capsule,CAPSULE,RAPISONE SR CAP 5`S,5`S,116.5,12,12,30049039
Capsule,CAPSULE,RESTECLIN 250MG CAP 10`S,10`S,14.99,5,5,30042049
Capsule,CAPSULE,RESTECLIN 500MG CAP 10`S,10`S,26.6,5,5,30042049
Capsule,CAPSULE,AIRITIS PLUS CAPS 10`S,10`S,66.43,12,12,3004
Capsule,CAPSULE,ENLIVA CAP 10`S,10`S,143,12,12,30049039
Capsule,CAPSULE,ESOGA-RD CAP 10`S,10`S,124.85,12,12,30049039
Capsule,CAPSULE,ESSENTIALE-L 1GM CAP 10`S,10`S,319,18,18,29232090
Capsule,CAPSULE,ESSENTIALE-L CAP 10`S,10`S,143,12,12,30049099
